id,Name,Assembly,link,party,case,Qualification,Assets
92,K.p Vivekanand,QUTHBULLAPUR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5478,BRS,3,Graduate Professional,103861493
93,T. Prakash Goud,RAJENDRANAGAR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6198,BRS,2,5th Pass,82860000
94,Korukanti Chandar Patel,RAMAGUNDAM,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6096,BRS,0,Graduate,21856865
95,Talasani Srinivas Yadav,SANATHNAGAR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6282,BRS,3,12th Pass,361280000
96,Turupu Jayaprakash Reddy,SANGAREDDY,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5391,INC,16,10th Pass,27806074
97,Sandra Venkata Veeraiah,SATHUPALLE (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4661,BRS,4,10th Pass,14057827
98,T. Padma Rao,SECUNDERABAD,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6366,BRS,1,10th Pass,32313863
99,Arekapudi Gandhi,SERILINGAMPALLY,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6225,BRS,1,10th Pass,622284176
100,Anjaiah Yelganamoni,SHADNAGAR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5116,BRS,2,12th Pass,
101,Thanneeru Harish Rao,SIDDIPET,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4897,BRS,41,Graduate,114483799
102,Kalvakuntla Taraka Rama Rao,SIRCILLA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4868,BRS,17,Post Graduate,418294428
103,Koneru Konappa,SIRPUR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4677,BRS,0,12th Pass,7586155
104,Guntakandla Jagadish Reddy,SURYAPET,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5158,BRS,0,Graduate Professional,37090580
105,Rohith Reddy,TANDUR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4977,BRS,11,12th Pass,114748125
106,Gadari Kishore Kumar,THUNGATHURTHI (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5229,BRS,0,Doctorate,10608445
107,Bethi Subhas Reddy,UPPAL,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5518,BRS,0,12th Pass,40575506
108,Ramesh Chennamaneni,VEMULAWADA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4854,BRS,0,Doctorate,92262000
109,Dr. Anand Methuku,VICARABAD (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4965,BRS,0,Post Graduate,53329981
110,Singi Reddy Niranjan Reddy,WANAPARTHY,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5090,BRS,1,Graduate Professional,
111,Aroori Ramesh,WARADHANAPET (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5971,BRS,2,Post Graduate,283980047
112,Narendar Nannapuneni,WARANGAL EAST,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5951,BRS,1,12th Pass,27992223
113,Dasyam Vinay Bhasker,WARANGAL WEST,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5931,BRS,3,Post Graduate,56123057
114,Lavudya Ramulu,WYRA (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5272,BRS,0,Graduate,12850000
115,Syed Ahmed Pasha Quadri,YAKUTPURA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5019,All India Majlis-E-Ittehadul Muslimeen,3,10th Pass,1975790
116,Rambai Alias Haripriya Banoth,YELLANDU (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=6027,BRS,0,Post Graduate,11167000
117,Jajala Surender,YELLAREDDY,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4756,BRS,2,Graduate,34019797
118,Koninty Manik Rao,ZAHIRABAD (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5377,BRS,0,Others,141557050
